modelo,reamostragem,parametros,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,tempo_treino_s,tempo_inferencia_por_amostra_ms
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.893997965412004,0.30413223140495865,0.647887323943662,0.41394825646794153,0.9767981438515081,0.9090909090909091,0.9417291130746002,0.6778386847712708,0.8318770320041606,0.3264330986630861,0.352112676056338,0.09090909090909091,11.984952860999329,0.036657275483247875
Random Forest,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.9367243133265514,0.4448979591836735,0.38380281690140844,0.4120982986767486,0.9625267665952891,0.970632692722954,0.9665627351897645,0.6893305169332565,0.8456376349220349,0.3638377334294911,0.6161971830985915,0.029367307277045996,7.599213158000566,0.03087234058979205
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.5,0.925940996948118,0.3717948717948718,0.4084507042253521,0.38926174496644295,0.9635020638713883,0.9576765277477867,0.9605804635044402,0.6749211042354415,0.8350343368785375,0.34037782045530485,0.5915492957746479,0.04232347225221335,3.7294871609992697,0.04158469888104596
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.5,0.9243133265513733,0.3625,0.4084507042253521,0.3841059602649007,0.9634385201305767,0.955949039084431,0.9596791675699111,0.6718925639174059,0.8343382471464503,0.3358297659307255,0.5915492957746479,0.04405096091556899,1.850615495000966,0.020145039064100888
Logistic Regression,com undersampling,"{'C': 1.0, 'class_weight': None, 'penalty': 'l1'}",0.5,0.8982706002034588,0.2857142857142857,0.5070422535211268,0.36548223350253806,0.9682611652686466,0.9222630101489959,0.944702499447025,0.6550923664747815,0.8180316513635907,0.29090772547301524,0.49295774647887325,0.0777369898510041,0.11795141000038711,0.00022218087482614782
Logistic Regression,com undersampling,"{'C': 1.0, 'class_weight': None, 'penalty': 'l2'}",0.5,0.8952187182095626,0.2783109404990403,0.5105633802816901,0.36024844720496896,0.9683659535730542,0.9188080328222846,0.9429362880886426,0.6515923676468058,0.8248461835578359,0.30962323086611454,0.4894366197183099,0.0811919671777154,0.031566295998345595,0.00022707833151857908
Extra Trees,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.5,0.9377416073245168,0.44329896907216493,0.3028169014084507,0.3598326359832636,0.9580597331073925,0.9766789030446987,0.9672797262617622,0.6635561811225129,0.8087110440661676,0.2923757898573415,0.6971830985915493,0.02332109695530123,1.375257022000369,0.024377171922680456
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.5,0.9312309257375382,0.38362068965517243,0.31338028169014087,0.3449612403100775,0.9583600256245997,0.9691211401425178,0.9637105432681984,0.654335891789138,0.8236923701570251,0.2973839749821273,0.6866197183098591,0.030878859857482184,1.3293707799984986,0.01966184150541982
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.8413021363173957,0.22566371681415928,0.7183098591549296,0.3434343434343434,0.9800548491647968,0.8488447419563809,0.9097431150196714,0.6265887292270074,0.8373153518389542,0.2793404271957754,0.28169014084507044,0.1511552580436191,28.140402924000227,0.00018025676486303126
Extra Trees,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.5,0.9361139369277721,0.422680412371134,0.2887323943661972,0.34309623430962344,0.95721245498835,0.9758151587130209,0.9664242942686057,0.6547602642891146,0.810261754070091,0.2988975483790122,0.7112676056338029,0.024184841286979054,3.587196115000552,0.02682365656156571
Logistic Regression,com undersampling,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2'}",0.5,0.9220752797558495,0.33444816053511706,0.352112676056338,0.34305317324185247,0.9601386481802426,0.9570287194990282,0.9585811614577701,0.6508171673498113,0.7941247137326224,0.2661153373913929,0.647887323943662,0.04297128050097171,0.015948137999657774,0.00021728423196030826
Logistic Regression,sem reamostragem,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.8339776195320447,0.2217573221757322,0.7464788732394366,0.3419354838709677,0.9818135892902248,0.8393435543079248,0.9050058207217695,0.6234706522963687,0.8487542616962842,0.3032639963558129,0.2535211267605634,0.16065644569207516,3.254556264000712,0.0001572911494921008
Logistic Regression,sem reamostragem,"{'C': 5.0, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.8362156663275687,0.22198505869797225,0.7323943661971831,0.3407043407043407,0.9808949220713926,0.8425825955517167,0.9064932047856894,0.6235987727450151,0.8440865447489516,0.3020597490371224,0.2676056338028169,0.1574174044482833,0.2956321530000423,0.00023538677490483079
Logistic Regression,sem reamostragem,"{'C': 5.0, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.8390640895218718,0.22295081967213115,0.7183098591549296,0.3402835696413678,0.98,0.8464694450442669,0.9083536090835361,0.624318589362452,0.8404091684635997,0.2860990443287731,0.28169014084507044,0.1535305549557331,12.92662062800082,0.00015713123090142179
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.837029501525941,0.2217438105489774,0.7253521126760564,0.3396537510305029,0.980431510286001,0.8438782120492334,0.9070442149239875,0.6233489829772452,0.8420457966976986,0.2934895822576176,0.2746478873239437,0.15612178795076656,0.5094480820007448,0.00022661424200095534
Logistic Regression,sem reamostragem,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.832146490335707,0.21910695742471442,0.7429577464788732,0.3384121892542101,0.9815283400809717,0.8376160656445693,0.9038797623208669,0.6211459757875385,0.8479467824002968,0.3182283731315544,0.25704225352112675,0.1623839343554308,0.17442159299935156,0.00015624374356585066
