modelo,reamostragem,parametros,threshold,atende_recall_1_minimo,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.65,True,0.9399796541200407,0.48109965635738833,0.49295774647887325,0.48695652173913045,0.9688581314878892,0.9673936514791621,0.9681253376553215,0.727540929697226,0.8356635168384525,0.3944475306585913,0.5070422535211268,0.03260634852083783,140,144,151,4480
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.85,True,0.9420142421159715,0.4981549815498155,0.4753521126760563,0.4864864864864865,0.9679155900086133,0.970632692722954,0.9692722371967655,0.7278793618416259,0.8449324211301061,0.4114216677546915,0.5246478873239436,0.029367307277045996,135,149,136,4495
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.7,True,0.9375381485249237,0.46325878594249204,0.5105633802816901,0.48576214405360135,0.9697957409821817,0.9637227380695315,0.9667497021553124,0.7262559231044569,0.855457024157469,0.43680694598225567,0.4894366197183099,0.03627726193046858,145,139,168,4463
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.65,True,0.9393692777212614,0.47619047619047616,0.49295774647887325,0.4844290657439446,0.9688379138714563,0.9667458432304038,0.96779074794639,0.7261099068451673,0.8337653322222255,0.3909820782056745,0.5070422535211268,0.0332541567695962,140,144,154,4477
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.75,True,0.9300101729399797,0.4214659685863874,0.5669014084507042,0.48348348348348347,0.9728656518861681,0.9522781256748003,0.9624618070711479,0.7229726452773158,0.8564139099333639,0.44197938547088267,0.43309859154929575,0.04772187432519974,161,123,221,4410
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.8,True,0.9428280773143438,0.5057915057915058,0.4612676056338028,0.48250460405156537,0.967139175257732,0.9723601813863096,0.9697426510175514,0.7261236275345584,0.8565469691393883,0.39746718428409317,0.5387323943661971,0.02763981861369035,131,153,128,4503
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.85,True,0.9277721261444557,0.41102756892230574,0.5774647887323944,0.4802342606149341,0.9734278122232064,0.9492550205139278,0.9611894610254729,0.7207118608202034,0.8581630682388436,0.4005549676729754,0.4225352112676056,0.05074497948607212,164,120,235,4396
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.75,True,0.9287894201424212,0.41361256544502617,0.5563380281690141,0.4744744744744745,0.972203838517538,0.9516303174260419,0.9618070711479704,0.7181407728112225,0.8337653322222255,0.3909820782056745,0.44366197183098594,0.04836968257395811,158,126,224,4407
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.75,True,0.9477110885045779,0.5658536585365853,0.4084507042253521,0.47443762781186094,0.9643312101910828,0.9807816886201685,0.9724868857724013,0.7234622567921312,0.8595240738318922,0.42145241317008547,0.5915492957746479,0.01921831137983157,116,168,89,4542
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.9,True,0.9300101729399797,0.4189189189189189,0.545774647887324,0.4740061162079511,0.9716171617161716,0.9535737421723169,0.962510897994769,0.7182585071013601,0.8440964291471131,0.40971479240076564,0.45422535211267606,0.046426257827683004,155,129,215,4416
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.7,True,0.9330620549338758,0.4340175953079179,0.5211267605633803,0.4736,0.9702667249672059,0.958324335996545,0.9642585551330799,0.7189292775665399,0.8337653322222255,0.3909820782056745,0.4788732394366197,0.04167566400345498,148,136,193,4438
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.85,True,0.9397761953204476,0.4784172661870504,0.46830985915492956,0.47330960854092524,0.9674358421393142,0.9686892679766789,0.9680621493310315,0.7206858789359784,0.8440964291471131,0.40971479240076564,0.5316901408450704,0.031310732023321096,133,151,145,4486
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,True,0.950559511698881,0.615819209039548,0.38380281690140844,0.47288503253796094,0.963064584212748,0.985316346361477,0.9740634005763689,0.7234742165571649,0.8564139099333639,0.44197938547088267,0.6161971830985915,0.014683653638522998,109,175,68,4563
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.75,True,0.9277721261444557,0.4087403598971722,0.5598591549295775,0.4725111441307578,0.9723817940786567,0.9503347009285251,0.9612318444905537,0.7168714943106558,0.8356635168384525,0.3944475306585913,0.44014084507042256,0.04966529907147484,159,125,230,4401
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.7,True,0.9326551373346897,0.4314868804664723,0.5211267605633803,0.47208931419457734,0.9702537182852143,0.9578924638307061,0.9640334673476041,0.7180613907710907,0.8356635168384525,0.3944475306585913,0.4788732394366197,0.04210753616929389,148,136,195,4436
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.9,True,0.9302136317395727,0.4191780821917808,0.5387323943661971,0.4714946070878274,0.9712087912087912,0.9542215504210754,0.9626402352684893,0.7170674211781584,0.8449324211301061,0.4114216677546915,0.4612676056338028,0.045778449578924636,153,131,212,4419
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.8,True,0.921057985757884,0.3844444444444444,0.6091549295774648,0.4713896457765668,0.9751399776035834,0.9401857050313107,0.9573438874230431,0.7143667665998049,0.8564139099333639,0.44197938547088267,0.3908450704225352,0.059814294968689265,173,111,277,4354
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.85,True,0.9251271617497456,0.3975609756097561,0.573943661971831,0.4697406340057637,0.9731409544950056,0.9466637875188945,0.9597197898423818,0.7147302119240728,0.8565469691393883,0.39746718428409317,0.426056338028169,0.053336212481105594,163,121,247,4384
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.8,True,0.9200406917599186,0.38074398249452956,0.6126760563380281,0.46963562753036436,0.9753252579632122,0.938890088533794,0.9567609197931566,0.7131982736617605,0.8356635168384525,0.3944475306585913,0.3873239436619718,0.061109911466206,174,110,283,4348
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.75,True,0.9466937945066124,0.5528846153846154,0.40492957746478875,0.46747967479674796,0.9640960271935415,0.9799179442884907,0.9719426001285072,0.7197111374626276,0.859112730800697,0.423028453545733,0.5950704225352113,0.020082055711509395,115,169,93,4538
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,True,0.9503560528992879,0.6149425287356322,0.3767605633802817,0.4672489082969432,0.9626661041974267,0.9855322824443965,0.9739650021340163,0.7206069552154797,0.855457024157469,0.43680694598225567,0.6232394366197183,0.014467717555603542,107,177,67,4564
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.8,True,0.9198372329603255,0.37831858407079644,0.602112676056338,0.46467391304347827,0.9746807080439166,0.9393219606996329,0.9566747305915989,0.7106743218175386,0.855457024157469,0.43680694598225567,0.397887323943662,0.06067803930036709,171,113,281,4350
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.8,True,0.9169888097660224,0.3702928870292887,0.6232394366197183,0.4645669291338583,0.9758846067162498,0.9350032390412438,0.9550066166740185,0.7097867729039384,0.8337653322222255,0.3909820782056745,0.3767605633802817,0.06499676095875621,177,107,301,4330
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,True,0.9487283825025432,0.5888888888888889,0.3732394366197183,0.45689655172413796,0.9624076029567054,0.9840207298639603,0.9730941704035875,0.7149953610638627,0.8356635168384525,0.3944475306585913,0.6267605633802817,0.015979270136039732,106,178,74,4557
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,True,0.948118006103764,0.5783783783783784,0.3767605633802817,0.4562899786780384,0.9625792811839323,0.9831569855322825,0.9727593205854076,0.714524649631723,0.8337653322222255,0.3909820782056745,0.6232394366197183,0.016843014467717556,107,177,78,4553
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.85,True,0.9082400813835199,0.3467889908256881,0.6654929577464789,0.4559710494571773,0.9782608695652174,0.9231267544806737,0.9498944561715364,0.7029327528143569,0.855457024157469,0.43680694598225567,0.3345070422535211,0.07687324551932628,189,95,356,4275
