avaliacao,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp,taxa_concessao_indevida,taxa_negacao_indevida
teste_threshold_0.50,0.5,0.9446704637917006,0.536723163841808,0.3333333333333333,0.41125541125541126,0.959907153407892,0.9822932412006046,0.9709711846318037,0.6911132979436074,0.8188534930502677,0.355014627495336,95,190,82,4549,0.6666666666666666,0.01770675879939538
teste_threshold_0.55,0.55,0.9412123677786819,0.4915254237288136,0.4070175438596491,0.44529750479846447,0.9638888888888889,0.9740876700496653,0.9689614434539792,0.7071294741262218,0.8188534930502677,0.355014627495336,116,169,120,4511,0.5929824561403508,0.0259123299503347
